"Competência";"Individual.ou.Familiar";"Coletivo.Empresarial";"Coletivo.por.Adesão";"Total";"Receita Ast CE";"Receita Ast CA";"Receita Ast IND";"Despesa Ast CE";"Despesa Ast CA";"Despesa Ast IND";"Ticket Médio - CE";" Custo Per Capita - CE";"Ticket Médio - CA";" Custo Per Capita - CA";"Ticket Médio - IND";" Custo Per Capita - IND"
"2012-01-01";25463;79080;10922;115465;11480830,3105619;3155855,53598181;3108540,72318107;8688869,55507257;2853160,36775899;2382376,85126264;145,179948287328;109,874425329699;288,944839405036;261,230577527833;122,080694465737;93,562300249878
"2012-02-01";25473;79369;10929;115771;11599635,5155498;3098348,79328123;3345215,35553451;7575143,06020213;2165957,84521075;2504778,92712503;146,148187775451;95,4420877194135;283,497922342504;198,184449191212;131,323964807228;98,3307394937789
"2012-03-01";25482;79659;10935;116076;11452191,3206824;2224129,84299503;3410995,67317828;12607614,4540577;1317758,58667545;2916029,16505246;143,765190633606;158,269805722614;203,395504617744;120,508329828574;133,859024926547;114,434862453985
"2012-04-01";25477;79755;11496;116728;9404300,65166119;1993187,16141745;2309762,96059235;7794335,99730586;1972651,51391803;2859557,32042292;117,91487244262;97,7284934775984;173,380929142089;171,59459933177;90,6607120380087;112,240739507121
"2012-05-01";25473;79851;12057;117381;13764790,1870693;3079128,89640351;2459738,68268003;7653313,08965121;2628560,5562063;2759968,05318967;172,380936833218;95,8449247930672;255,381014879614;218,011160007158;96,5625832324435;108,348763521755
"2012-06-01";25468;79947;12618;118033;11034015,2118371;2710996,56512494;2450678,53733969;8434342,25531212;2450793,12823795;2451835,59365378;138,016626162796;105,499171392449;214,851526797031;194,229919815973;96,2257946183323;96,2712263881648
"2012-07-01";25567;80935;12970;119472;11717569,8105134;3137925,93459159;2869799,61085936;9112656,09792809;1995711,24939487;3091944,81446348;144,777535188897;112,592278963713;241,937234741063;153,871337655734;112,24623971758;120,934987071752
"2012-08-01";25667;81922;13323;120912;13249244,093737;3158087,68024232;1868634,75932854;5751750,99409823;1754989,95019712;1618488,65075225;161,729988205085;70,2100900136499;237,040282236908;131,726334173769;72,8030061685645;63,0571804555363
"2012-09-01";25766;82910;13675;122351;12504324,5993203;2758542,45612715;2624277,21330295;9104644,08287527;2018091,03830118;1852644,31857833;150,818050890367;109,813581991018;201,721569003814;147,575213038478;101,850392505742;71,9026747876398
"2012-10-01";25767;80664;13359;119790;9219328,04812281;2472380,22342295;2780503,6406595;8496988,59635768;817762,776010661;2490956,24093307;114,292968959174;105,338051625975;185,072252670331;61,2143705375148;107,909482697229;96,6723421792629
"2012-11-01";25768;78419;13043;117230;12960724,3859179;2721945,82792085;1896028,0158177;8714785,99317818;1314263,05765258;2189370,44115834;165,275308100306;111,131052336528;208,690165446665;100,76386242832;73,5807208870575;84,9647020008669
"2012-12-01";25769;76173;12727;114669;14368189,4123491;1820824,74098444;2389844,15489042;9583110,91929814;2355601,92821777;2555825,29218804;188,625752068962;125,807187839499;143,067866817352;185,086974795142;92,7410514529247;99,182168193878
"2013-01-01";25762;76062;12685;114509;14102353,2377362;2747782,29173948;2395093,78928634;8370708,66875446;1917493,28962726;2711996,0213756;185,406027158583;110,051124986912;216,616656818248;151,162261697064;92,9700252032584;105,271175427979
"2013-02-01";25756;75951;12642;114349;12620126,623932;3524688,22719749;2564762,09981877;11502676,6466615;2790957,02611579;2447066,47872833;166,161428077735;151,448653035003;278,807801550189;220,768630447381;99,579208721027;95,0095697596027
"2013-03-01";25749;75840;12600;114189;7807593,45036352;2587160,28743511;3112607,48476678;11859969,6437679;2367408,07462492;1827067,35264851;102,948225875046;156,381456273312;205,330181542469;187,889529732136;120,882655045508;70,9568275524683
"2013-04-01";25878;76894;13001;115773;15176480,1859126;2756226,02462941;2874828,06166675;12486385,9085901;3020344,18637435;2946938,38230926;197,368847841348;162,384398114158;212,001078734668;232,316297698204;111,091585967492;113,878135184684
"2013-05-01";26007;77948;13403;117358;13686704,7219696;2916302,27074034;2682490,85812501;11438377,6589099;1566278,13596009;3307765,92508727;175,587631779771;146,743696552958;217,585784581089;116,860265310758;103,144955516784;127,187523554707
"2013-06-01";26136;79002;13804;118942;14687971,033485;3326017,44286844;1809948,5932335;10137251,8512079;2797285,51028867;3567298,88599491;185,918977158617;128,316395169842;240,945917333268;202,643111437892;69,2511705400021;136,489856366502
"2013-07-01";26103;76372;13550;116025;13650376,6036686;2272265,63733761;1953663,44892464;12384897,5900955;2075636,98401543;2288085,97911813;178,735355937629;162,165421752678;167,694880984326;153,183541255752;74,8444029009937;87,6560540596149
"2013-08-01";26070;73741;13297;113108;14113665,0752874;3218022,82636128;2641039,72896232;10736125,9313022;2926433,80497977;3362152,18503637;191,39508652293;145,592356101792;242,011192476595;220,082259530704;101,305704985129;128,966328539945
"2013-09-01";26037;71111;13043;110191;15328674,4261569;2756862,16881247;2987929,82500814;14912290,4904617;2161766,44419413;2882696,47683446;215,559820930052;209,704412685262;211,367183072335;165,741504576718;114,757069747211;110,715384907418
"2013-10-01";26067;71136;13064;110267;11812197,8116283;3099318,46908454;3233964,8656072;11039008,1051605;1787175,30458164;3691592,12579945;166,050913906156;155,181737870564;237,24115654352;136,801538930009;124,063561806391;141,619370307264
"2013-11-01";26096;71162;13084;110342;11127669,4250014;2851735,67004348;2203909,72445861;11310357,4650236;2363318,1746313;2762212,56679177;156,370948329184;158,938161729907;217,955951547193;180,626580146079;84,4539287422827;105,848121045055
"2013-12-01";26126;71187;13105;110418;17183461,5078746;3002516,75426317;4199040,98476394;13516017,1630884;2100992,8401849;2345940,2561028;241,384824586998;189,866368340967;229,112304789253;160,319942020977;160,722689457396;89,7933191496133
"2014-01-01";26103;70268;13148;109519;12023364,9074481;2583228,51289519;4889022,57061481;6741003,22292348;2435701,25780791;2245815,43335574;171,107259455913;95,9327606154079;196,473114762336;185,252605552777;187,297344007003;86,0366790543516
"2014-02-01";26080;69350;13190;108620;10095651,5575102;3170355,47700254;3783255,26158955;8350705,57568076;2560604,80345759;3243946,79870114;145,575364924444;120,413923225389;240,360536543028;194,13228229398;145,063468619231;124,384463140381
"2014-03-01";26057;68431;13233;107721;13737848,3548697;3752404,82094358;5269957,03136224;7658726,76627334;2565645,89455144;2948596,80343872;200,754750842012;111,918966057391;283,564182040624;193,88240720558;202,24726681361;113,159488944956
"2014-04-01";26015;68795;13346;108156;12520596,4090178;3304514,71056746;2702189,65962773;12906872,184708;2230733,1823564;3221382,8347111;181,998639567087;187,613521109208;247,603380081482;167,146199786932;103,870446266682;123,827900623144
"2014-05-01";25974;69160;13458;108592;8542087,87768715;2989921,20800332;4041297,13335203;13489670,0604592;1810648,41790425;3150491,00558534;123,511970469739;195,050174384892;222,166830732897;134,540676022013;155,590095224149;121,294025009061
"2014-06-01";25932;69524;13571;109027;16568973,3201849;2430119,78455339;3437811,38511597;9426492,57702666;2054987,93368587;2077257,64401118;238,320196193902;135,586165597875;179,06711256012;151,424945375128;132,570236970383;80,1040276111054
"2014-07-01";25947;71035;13610;110592;15317026,1428148;2576438,71569116;4683764,7009837;14113918,1815495;1375266,23671449;2797518,92534186;215,626467837191;198,689634427388;189,304828485758;101,048217245738;180,512764519355;107,816661862329
"2014-08-01";25961;72546;13650;112157;18542006,9132038;3381026,7789318;3476862,96354455;12188007,0922573;2499306,40676998;2544808,43599849;255,589652264822;168,003847107453;247,694269518813;183,099370459339;133,926388180137;98,0242839643501
"2014-09-01";25976;74057;13689;113722;10426645,6856298;3640913,69077317;3144816,56709115;12316030,3604388;2052332,14604956;3090287,87127642;140,792169351037;166,30474310921;265,973678922724;149,925644389624;121,066236799013;118,967041548985
"2014-10-01";25960;74231;13844;114035;11885782,8608658;2799041,80971412;1871373,79450973;12704298,7981753;1760691,20120276;3475204,30178233;160,118856823508;171,145462113879;202,184470508099;127,180814880292;72,0868179703286;133,867654151862
"2014-11-01";25945;74405;14000;114350;12332591,5746578;1960304,62804318;3284125,70213665;10368643,5046777;1794316,78998376;2075875,03975893;165,749500364999;139,354122769675;140,021759145941;128,16548499884;126,580293009699;80,0106008771989
"2014-12-01";25929;74579;14155;114663;14777039,173001;3117093,70137369;3288443,10997411;6559217,24301422;1944316,04091152;3045274,67502648;198,139411536773;87,9499221364489;220,211494268717;137,358957323314;126,824910716731;117,446668788865
"2015-01-01";25886;73520;14178;113584;11212227,1728148;2628727,41698314;4177647,67588579;17665795,4578628;3314226,91967626;3130911,43273196;152,505810293998;240,285574780505;185,408902312254;233,758422885898;161,386373942895;120,94998967519
"2015-02-01";25844;72460;14201;112505;15440477,6511758;3464134,77140963;4703197,54699556;13021018,9549163;1686611,17302548;3715017,97230998;213,089672249184;179,699405946954;243,93597432643;118,767070841876;181,984118054309;143,747793387633
"2015-03-01";25801;71401;14224;111426;16286176,0124027;3125777,97418601;3154363,36877216;12980609,3153237;2548734,36439266;3004590,05550286;228,094508653978;181,798704714551;219,75379458563;179,185486810507;122,257407417238;116,452465234016
"2015-04-01";25847;70792;14255;110894;10997480,7991274;2882346,33637388;3320919,81917651;9409951,73744614;2703544,37917619;3084000,11206028;155,349203287482;132,923942499804;202,198971334541;189,655866655643;128,483762880664;119,317526678542
"2015-05-01";25893;70184;14287;110364;17126658,5839874;3806379,40949427;2241821,31723221;9919617,91444819;2579294,1566763;2919443,54230254;244,025113757942;141,337312128807;266,422580632342;180,534342876482;86,5802076712707;112,750300942438
"2015-06-01";25939;69575;14318;109832;16822119,0051116;3005970,04111775;4223063,53576114;13039666,0648556;2717342,07573546;3730298,75468891;241,783959829128;187,418843907375;209,943430724804;189,785031131126;162,807492029806;143,810430420946
"2015-07-01";25961;69512;14375;109848;23125745,1380886;2949219,33274029;2951654,05671343;13463198,748969;2597449,44767245;3271352,49969692;332,687091985392;193,681648477514;205,163084016716;180,692135490257;113,695699576805;126,010265386423
"2015-08-01";25984;69450;14432;109866;14811776,8868952;4175237,39001779;3317412,4318427;13741872,0489635;2562146,7139451;3909070,06072241;213,272525369262;197,867128134824;289,304142878173;177,532338826573;127,671352826459;150,441427829526
"2015-09-01";26006;69387;14489;109882;13370077,0396832;2607916,6421888;4128708,10248835;13535577,4014253;2018500,17178877;3144933,9064953;192,688501299714;195,073679528231;179,992866463441;139,312593815223;158,759828596799;120,931089229228
"2015-10-01";25971;69178;14435;109584;16027374,0150831;3136442,69257058;3100502,46405459;15252211,517136;1777198,09020171;3755696,3340597;231,6831075643;220,477774973778;217,280408214103;123,117290627067;119,383253015078;144,61115606098
"2015-11-01";25935;68968;14381;109284;15396095,7806619;3509466,79375213;3170475,61095184;13113274,2180465;2144131,99818107;3589794,72914916;223,235352346913;190,135631278948;244,034962363683;149,09477770538;122,246987119793;138,41506570847
"2015-12-01";25900;68759;14327;108986;11579107,8999063;3275673,58549266;4423035,89753923;15054393,6253186;3072212,05425646;2262132,44744961;168,401342368364;218,944336382417;228,636391812149;214,435126282994;170,773586777576;87,3410211370506
"2016-01-01";25849;68722;14363;108934;15186753,3292586;3855378,94672296;4558142,9135426;17413635,2694821;3968409,61210879;2754699,79989711;220,988232723997;253,392440113531;268,424350534217;276,293922725669;176,337301773477;106,568911752761
"2016-02-01";25797;68684;14401;108882;20611891,7873649;3918095,16287925;3495608,54316125;19042857,8732975;3791146,06096392;3484496,91452229;300,097428620419;277,253186670804;272,071048043834;263,255750362053;135,504459555811;135,073726189956
"2016-03-01";25745;68646;14439;108830;7744883,8172431;4542339,71350929;3059265,31370455;11962212,853271;3782947,57381358;3805571,48347069;112,823526749455;174,25943031307;314,588248044137;261,995122502499;118,829493637776;147,817886326304
"2016-04-01";25693;68608;14477;108778;11562179,1905828;2934185,17887473;4621570,59416663;10161493,6040857;2926674,64078179;3088526,84474705;168,525233071694;148,109456682686;202,679089512657;202,160298458368;179,876643216698;120,208883538203
"2016-05-01";25486;68456;14628;108570;15194828,2856978;4505971,01235032;3479452,97106749;12940117,6328239;3364458,43570164;4335981,32821659;221,964886725747;189,028246360054;308,037394883123;230,001260302273;136,524090522934;170,131889202566
"2016-06-01";25279;68305;14778;108362;19452294,479973;4329070,40476849;2742167,75211274;13970074,886621;3128221,09169203;5082265,32556299;284,785806016734;204,524923308996;292,940208740593;211,680950852079;108,476116622997;201,046929291625
"2016-07-01";25146;68752;15254;109152;23321812,5930219;5050029,56091603;3884518,11990245;12767367,2782913;2606358,51101233;5133975,20044306;339,216496873136;185,701758178544;331,062643301169;170,863938049845;154,478569947604;204,166674637838
"2016-08-01";25013;69200;15729;109942;15759706,2251936;4802259,12152528;3492293,41510419;13247805,043499;2566304,56768107;4678332,62759916;227,741419439213;191,442269414726;305,3124242816;163,15751590572;139,619134654147;187,036046359859
"2016-09-01";24880;69647;16205;110732;11251102,7571735;3152922,19889399;3200518,49919189;13899615,9710419;3353916,40556498;3205974,51629216;161,544686162699;199,57235733114;194,564776235359;206,967997875037;128,638203343726;128,857496635537
"2016-10-01";24779;69897;16448;111124;11069454,0838095;3851826,91147406;4201601,18142353;15829055,3385504;2693856,77093455;3611421,71084289;158,368085666187;226,462585497953;234,182083625612;163,780202513044;169,562984035818;145,745256501186
"2016-11-01";24679;70148;16692;111519;18150410,3908277;3782284,27927947;4137347,81621941;10787334,625791;2808344,08434276;3696752,62862812;258,74451717551;153,779646259209;226,592635950124;168,24491279312;167,646493626946;149,793453082707
"2016-12-01";24578;70398;16935;111911;20333987,3278793;3686509,86086589;4982643,60446968;13610227,3168174;3469166,93031365;3395089,96642594;288,843253045247;193,33258497141;217,6858494754;204,851900225193;202,727789261522;138,13532290772
"2017-01-01";24777;70534;17254;112565;22316256,5568311;4060926,86724679;5515308,23864125;17844858,1795698;3863039,95991148;4421065,32441544;316,39006091858;252,996543221281;235,361473701565;223,892428417264;222,597902838974;178,434246454996
"2017-02-01";24975;70671;17572;113218;20855840,7192505;5575804,41465811;4780798,72206179;15239966,4297704;4633507,98997478;4313157,16704869;295,111725025123;215,646678690983;317,311883374579;263,687001478192;191,423372254727;172,698985667615
